------------------------------------------------------------------------------
TOKEN                     | CATEGORÍA            | TIPO DATO                
------------------------------------------------------------------------------
contador?                 | Identificador        | string                   
promedio?                 | Identificador        | string                   
mensaje?                  | Identificador        | string                   
contador?                 | Identificador        | string                   
estado?                   | Identificador        | string                   
contador?                 | Identificador        | string                   
temp?                     | Identificador        | string                   
contador?                 | Identificador        | string                   
i?                        | Identificador        | string                   
sumar?                    | Identificador        | string                   
a?                        | Identificador        | string                   
b?                        | Identificador        | string                   
resultado?                | Identificador        | string                   
a?                        | Identificador        | string                   
b?                        | Identificador        | string                   
resultado?                | Identificador        | string                   
mensaje?                  | Identificador        | string                   
def                       | Palabra Reservada    | Definicion de variable   
int                       | Palabra Reservada    | Tipo dato entero         
def                       | Palabra Reservada    | Definicion de variable   
float                     | Palabra Reservada    | Tipo dato flotante       
def                       | Palabra Reservada    | Definicion de variable   
string                    | Palabra Reservada    | Tipo dato cadena         
if                        | Palabra Reservada    | Sentencia if             
def                       | Palabra Reservada    | Definicion de variable   
string                    | Palabra Reservada    | Tipo dato cadena         
while                     | Palabra Reservada    | Bucle while              
def                       | Palabra Reservada    | Definicion de variable   
int                       | Palabra Reservada    | Tipo dato entero         
for                       | Palabra Reservada    | Bucle for                
def                       | Palabra Reservada    | Definicion de variable   
int                       | Palabra Reservada    | Tipo dato entero         
func                      | Palabra Reservada    | Funcion                  
int                       | Palabra Reservada    | Tipo dato entero         
int                       | Palabra Reservada    | Tipo dato entero         
def                       | Palabra Reservada    | Definicion de variable   
int                       | Palabra Reservada    | Tipo dato entero         
print                     | Palabra Reservada    | Impresion en consola     
print                     | Palabra Reservada    | Impresion en consola     
0                         | Número               |                          
3.5                       | Número               |                          
0                         | Número               |                          
5                         | Número               |                          
1                         | Número               |                          
10                        | Número               |                          
0                         | Número               |                          
=                         | Operador             |                          
=                         | Operador             |                          
=                         | Operador             |                          
==                        | Operador             |                          
=                         | Operador             |                          
<                         | Operador             |                          
=                         | Operador             |                          
<                         | Operador             |                          
=                         | Operador             |                          
=                         | Operador             |                          
+                         | Operador             |                          
;                         | Símbolo              |                          
;                         | Símbolo              |                          
;                         | Símbolo              |                          
(                         | Símbolo              |                          
)                         | Símbolo              |                          
[                         | Símbolo              |                          
;                         | Símbolo              |                          
]                         | Símbolo              |                          
(                         | Símbolo              |                          
)                         | Símbolo              |                          
[                         | Símbolo              |                          
;                         | Símbolo              |                          
]                         | Símbolo              |                          
(                         | Símbolo              |                          
)                         | Símbolo              |                          
[                         | Símbolo              |                          
;                         | Símbolo              |                          
]                         | Símbolo              |                          
(                         | Símbolo              |                          
,                         | Símbolo              |                          
)                         | Símbolo              |                          
[                         | Símbolo              |                          
;                         | Símbolo              |                          
(                         | Símbolo              |                          
)                         | Símbolo              |                          
;                         | Símbolo              |                          
]                         | Símbolo              |                          
(                         | Símbolo              |                          
)                         | Símbolo              |                          
;                         | Símbolo              |                          
"inicio del programa"     | Cadena               |                          
"vacio"                   | Cadena               |                          
-------------------------------------------------------
